"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","cat_embedding_dim","diffusion_beta_end","diffusion_beta_start","diffusion_steps","epochs","method","metric.goal","metric.name","mlp_activation","mlp_dim","mlp_lr","name","parameters.batch_sizes","parameters.cat_embedding_dims","parameters.diffusion_beta_end.distribution","parameters.diffusion_beta_end.max","parameters.diffusion_beta_end.min","parameters.diffusion_beta_start.distribution","parameters.diffusion_beta_start.max","parameters.diffusion_beta_start.min","parameters.diffusion_steps.distribution","parameters.diffusion_steps.max","parameters.diffusion_steps.min","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.mlp_activations","parameters.mlp_dims","parameters.mlp_lr.distribution","parameters.mlp_lr.max","parameters.mlp_lr.min","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Jensen Shannon Distance","Kolmogorov Smirnov Test","Loss"
"fiery-sweep-19","","finished","-","","","2024-07-10T04:52:57.000Z","718","RealBank","5000","4","0.001763029073278808","0.000629278551144235","248","955","","","","lrelu","[2048,2048,2048]","0.0009930777303525414","","","","","","","","","","","","","","","","","","","","","0.9133199561234104","0.90584234388602","1","1","0.041948597286250486","0.9062332998514984","0.2283402979373932"
"atomic-sweep-18","","finished","-","","","2024-07-10T04:43:07.000Z","589","RealBank","5000","4","0.0030139433462660387","0.00021932790512631072","548","766","","","","lrelu","[2048,2048,2048]","0.00024957157707757184","","","","","","","","","","","","","","","","","","","","","0.9490655590202148","0.9152694255698806","1","1","0.04164423610210837","0.9155508281830392","0.29823124408721924"
"tough-sweep-17","","finished","-","","","2024-07-10T04:32:41.000Z","624","RealBank","5000","8","0.005674020888961033","0.0002433940866311729","239","939","","","","lrelu","[1024,1024,1024,1024]","0.00012841221878453406","","","","","","","","","","","","","","","","","","","","","0.9383718136332142","0.9064952601538588","1","1","0.04193193829994641","0.9098516238690032","0.2498580515384674"
"peach-sweep-16","","finished","-","","","2024-07-10T04:21:14.000Z","682","RealBank","5000","8","0.0054181687499917745","0.0004386907638222931","485","899","","","","lrelu","[2048,2048,2048]","0.0006439979285073242","","","","","","","","","","","","","","","","","","","","","0.9594693344678608","0.91875930263246","1","1","0.04114722782913845","0.920110070154292","0.19158796966075897"
"dulcet-sweep-15","","finished","-","","","2024-07-10T04:11:34.000Z","576","RealBank","5000","8","0.004164237167763599","0.0002042085670363165","706","847","","","","lrelu","[1024,1024,1024,1024]","0.0002533623736363295","","","","","","","","","","","","","","","","","","","","","0.9415797554503316","0.9108573866836832","1","1","0.04167973379846768","0.911252147761247","0.2509746551513672"
"legendary-sweep-14","","finished","-","","","2024-07-10T03:58:39.000Z","772","RealBank","5000","4","0.0026277675094709303","0.000542086987829331","913","946","","","","lrelu","[2048,2048,2048]","0.0003198458561387997","","","","","","","","","","","","","","","","","","","","","0.9388841291806356","0.91061551902753","1","1","0.04182446646638677","0.9112275236440842","0.2628224790096283"
"robust-sweep-13","","finished","-","","","2024-07-10T03:30:38.000Z","644","RealBank","5000","2","0.004614222853337971","0.00008279169127596698","554","811","","","","lrelu","[2048,2048,2048]","0.00020824509024383708","","","","","","","","","","","","","","","","","","","","","0.9409518566490532","0.9176408273558412","1","1","0.041364863542697174","0.9205970350850244","0.3124525845050812"
"vibrant-sweep-12","","finished","-","","","2024-07-10T03:18:42.000Z","706","RealBank","5000","2","0.00916264533514808","0.0003981090657694227","342","903","","","","lrelu","[2048,2048,2048]","0.00028958693819797606","","","","","","","","","","","","","","","","","","","","","0.9288537500094032","0.9154905896348116","1","1","0.04128746387118388","0.920013254473764","0.22082963585853577"
"flowing-sweep-11","","finished","-","","","2024-07-10T03:07:33.000Z","663","RealBank","5000","2","0.0016557060662272427","0.00031983702437510535","489","970","","","","relu","[1024,1024,1024,1024]","0.00039789378001926686","","","","","","","","","","","","","","","","","","","","","0.9218169384864252","0.9034096912186994","1","1","0.0420867731772045","0.90489357779012","0.28038913011550903"
"denim-sweep-10","","finished","-","","","2024-07-10T02:54:56.000Z","752","RealBank","5000","8","0.00497041857106003","0.000731694072459292","468","954","","","","lrelu","[2048,2048,2048]","0.00018314906396376364","","","","","","","","","","","","","","","","","","","","","0.9475306687738828","0.9164385923448708","1","1","0.0414401033634166","0.917309104301825","0.21124139428138733"
"cosmic-sweep-9","","finished","-","","","2024-07-10T02:43:07.000Z","704","RealBank","5000","4","0.00585494796951044","0.0005578056293621791","701","876","","","","relu","[2048,2048,2048]","0.00028560570080010976","","","","","","","","","","","","","","","","","","","","","0.9564898043098924","0.9195148300895344","1","1","0.04122669353259879","0.9200558610937136","0.2156469523906708"
"grateful-sweep-8","","finished","-","","","2024-07-10T02:30:31.000Z","753","RealBank","5000","2","0.0012821114440365869","0.0005985618791988084","761","961","","","","relu","[2048,2048,2048]","0.00039377974222932675","","","","","","","","","","","","","","","","","","","","","0.9181145470182744","0.9026393021597752","1","1","0.04207935642659946","0.9042380369403116","0.25685203075408936"
"still-sweep-7","","finished","-","","","2024-07-10T02:19:45.000Z","641","RealBank","5000","4","0.01199962576468181","0.00010556688256846267","665","804","","","","lrelu","[2048,2048,2048]","0.000261982180658848","","","","","","","","","","","","","","","","","","","","","0.9250515906382456","0.915995217218329","1","1","0.04141658732029937","0.9178677455695652","0.21014754474163055"
"visionary-sweep-6","","finished","-","","","2024-07-10T02:12:45.000Z","417","RealBank","5000","4","0.0019571309255519186","0.00047266470507987873","757","790","","","","relu","[512,512,512]","0.0001619337258223887","","","","","","","","","","","","","","","","","","","","","0.9126995363120232","0.9013123559788708","1","1","0.04222219947886083","0.9047721088435374","0.3273380696773529"
"decent-sweep-5","","finished","-","","","2024-07-10T02:04:53.000Z","469","RealBank","5000","4","0.006303865679670707","0.00035967377798189735","855","893","","","","lrelu","[512,512,512]","0.0003454855551436597","","","","","","","","","","","","","","","","","","","","","0.9410895430015122","0.920660291331356","1","1","0.041475603498037195","0.9214126324994386","0.2699301838874817"
"graceful-sweep-4","","finished","-","","","2024-07-10T01:55:42.000Z","547","RealBank","5000","4","0.01728175954938838","0.0006086799152894371","702","655","","","","lrelu","[2048,2048,2048]","0.0004192401096725585","","","","","","","","","","","","","","","","","","","","","0.889891081534388","0.8930602483958261","1","1","0.04249178154126086","0.8943008504386121","0.16138926148414612"
"likely-sweep-3","","finished","-","","","2024-07-10T01:52:34.000Z","178","RealBank","5000","2","0.06777385307366383","0.00033247886021509575","253","315","","","","lrelu","[512,512,512]","0.0008028177621716125","","","","","","","","","","","","","","","","","","","","","0.7005933778335819","0.5473035392269242","1","1","0.05501930013331599","0.547889730530313","0.12613120675086975"
"curious-sweep-2","","finished","-","","","2024-07-10T01:44:19.000Z","491","RealBank","5000","4","0.07616466564259068","0.000990369635043846","830","684","","","","lrelu","[1024,1024,1024,1024]","0.0005474931766504677","","","","","","","","","","","","","","","","","","","","","0.6556108122497762","0.4612769475595681","1","1","0.0580464739009802","0.4702075089908575","0.08920368552207947"
"avid-sweep-1","","finished","-","","","2024-07-10T01:37:46.000Z","390","RealBank","5000","8","0.08738182526760728","0.0002588730475555472","858","528","","","","relu","[1024,1024,1024,1024]","0.00017195205977400005","","","","","","","","","","","","","","","","","","","","","0.7771830569116402","0.3749396294939516","1","1","0.06314724344525313","0.38014277284741343","0.10116175562143326"
