"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","discriminator_decay","discriminator_dim","discriminator_lr","discriminator_steps","embedding_dim","epochs","generator_decay","generator_dim","generator_lr","method","metric.goal","metric.name","name","pac","parameters.batch_sizes","parameters.discriminator_decay.distribution","parameters.discriminator_decay.max","parameters.discriminator_decay.min","parameters.discriminator_dims","parameters.discriminator_lr.distribution","parameters.discriminator_lr.max","parameters.discriminator_lr.min","parameters.discriminator_steps.distribution","parameters.discriminator_steps.max","parameters.discriminator_steps.min","parameters.embedding_dims","parameters.epochs.distribution","parameters.epochs.max","parameters.epochs.min","parameters.generator_decay.distribution","parameters.generator_decay.max","parameters.generator_decay.min","parameters.generator_dims","parameters.generator_lr.distribution","parameters.generator_lr.max","parameters.generator_lr.min","parameters.pac.distribution","parameters.pac.max","parameters.pac.min","parameters.pacs","Column Pair Trends","Column Shapes","Data Structure","Data Validity","Discriminator Loss","Generator Loss","Jensen Shannon Distance","Kolmogorov Smirnov Test"
"faithful-sweep-31","","finished","-","","","2024-07-11T15:28:12.000Z","356","RealBank","5000","0.023284822192131","[256,256]","0.000354665149939825","1","256","155","0.005277711324158646","[512,512]","0.0004785007370610247","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8737767061783686","0.8488953312080582","1","1","-0.9447280168533324","0.4622474014759064","0.04042532775559403","0.8551005449460927"
"astral-sweep-26","","finished","-","","","2024-07-11T13:16:28.000Z","478","RealBank","5000","0.008185637136758295","[512,512]","0.00016538306530484835","1","32","245","0.015455072095258864","[512,512]","0.0003658619749875815","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.864278749477566","0.8296878963689108","1","1","-1.7023470401763916","0.17911015450954437","0.04087916975731757","0.8359496318460756"
"electric-sweep-33","","finished","-","","","2024-07-11T15:42:44.000Z","928","RealBank","5000","0.001447368754228179","[512,512]","0.00004177996644933278","3","256","192","0.015454827380809971","[512,512]","0.0002086963609776708","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8796743612358441","0.8270605712148427","1","1","-1.3564152717590332","0.23205327987670896","0.04145513097126541","0.8332440458224424"
"rich-sweep-18","","finished","-","","","2024-07-11T09:49:15.000Z","1775","RealBank","5000","0.000955445819022105","[512,512]","0.000060567656405261015","2","32","588","0.02828538495337098","[512,512]","0.00024245105968684065","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8625022693806002","0.8175176683439812","1","1","-2.2368693351745605","-0.07530388981103897","0.041566328913456","0.8237359255602766"
"resilient-sweep-13","","finished","-","","","2024-07-11T04:48:13.000Z","4255","RealBank","5000","0.008325599571329967","[512,512]","0.00027670722449613675","15","32","446","0.021774380694310837","[512,512]","0.00020492561986582708","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8986752456210327","0.8572063363388203","1","1","-0.5709434151649475","0.2261018455028534","0.04375964397442709","0.8655999023118222"
"lemon-sweep-14","","finished","-","","","2024-07-11T05:59:10.000Z","5493","RealBank","5000","0.02975566533344989","[512,512]","0.0003664758665023273","10","32","870","0.004378734389263545","[512,512]","0.00006445216216334167","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8987135919735992","0.8598296767230345","1","1","-0.4136611223220825","-0.2246023267507553","0.04379373850181496","0.8682708617436552"
"misty-sweep-7","","finished","-","","","2024-07-10T19:36:50.000Z","4075","RealBank","5000","0.02740340229397681","[512,512]","0.0008149534756312816","8","32","804","0.008246258945417135","[512,512]","0.00034190523191643364","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8995338481630814","0.8554253961688902","1","1","-0.560030460357666","-0.5393648743629456","0.043862775149653005","0.8639618192847491"
"legendary-sweep-9","","finished","-","","","2024-07-10T22:58:05.000Z","5697","RealBank","5000","0.014015812445601523","[512,512]","0.00040481120944243153","9","64","992","0.013688873247736495","[512,512]","0.00006649429915908056","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9028815364197168","0.854772742241077","1","1","-0.516471266746521","-1.8254327774047852","0.04416229395461376","0.8632377367855074"
"eager-sweep-10","","finished","-","","","2024-07-11T00:33:04.000Z","5207","RealBank","5000","0.004539851649487553","[512,512]","0.00036781931937920214","12","64","680","0.034165535498587016","[512,512]","0.000512373496447357","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8793572528402953","0.8367167436748874","1","1","-1.538719892501831","1.027340531349182","0.04418030868725093","0.8453436429812226"
"neat-sweep-6","","finished","-","","","2024-07-10T18:44:48.000Z","3116","RealBank","5000","0.03225876404981897","[512,512]","0.0008861253169685334","7","32","697","0.018107979438859247","[512,512]","0.00037098497563102447","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.889892730090793","0.8420549862330572","1","1","-0.8427702188491821","-0.45820122957229614","0.04422785100649745","0.8505818855393924"
"vague-sweep-12","","finished","-","","","2024-07-11T04:08:57.000Z","2351","RealBank","5000","0.0010782140858679456","[512,512]","0.000603051638720923","4","64","905","0.0023393606955662005","[512,512]","0.00028802622905773235","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8993982828360766","0.8368561604607101","1","1","-0.3831750154495239","-0.4214930534362793","0.04456470329330637","0.8453068692908549"
"avid-sweep-1","","finished","-","","","2024-07-10T15:31:46.000Z","850","RealBank","5000","0.03629977282052042","[128,128]","0.0001836305188740265","9","256","151","0.04217342237547326","[128,128]","0.0008371285540617354","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8790453793378673","0.8215806691640177","1","1","-0.8995204567909241","-0.6569451689720154","0.04461023003414152","0.83015042561321"
"lilac-sweep-11","","finished","-","","","2024-07-11T01:59:54.000Z","7715","RealBank","5000","0.010313122787679464","[512,512]","0.00030965731399186546","15","32","816","0.046612048342418805","[512,512]","0.0006072101134619003","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.868592312219539","0.8222327511433063","1","1","-1.7356765270233154","0.6752496361732483","0.044647964702629245","0.83103107902107"
"sleek-sweep-3","","finished","-","","","2024-07-10T15:53:26.000Z","3742","RealBank","5000","0.029482291420733123","[256,256]","0.0007941264248491009","7","32","872","0.023672440862238776","[512,512]","0.0005664777166856499","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8904034594499673","0.8245224324356263","1","1","-0.9682674407958984","-1.036929726600647","0.04473870841790539","0.8329826650752947"
"jumping-sweep-5","","finished","-","","","2024-07-10T17:05:16.000Z","5970","RealBank","5000","0.037650889853256334","[256,256]","0.0006626492349520141","12","32","827","0.029078741331022596","[512,512]","0.0007839471067984463","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8832335079609241","0.8185990833855256","1","1","-1.1198638677597046","-0.038746707141399384","0.04474581243984018","0.8271926493585274"
"different-sweep-8","","finished","-","","","2024-07-10T20:44:48.000Z","7995","RealBank","5000","0.03894744866657861","[512,512]","0.0009635760446236552","14","64","872","0.0010117065996474272","[512,512]","0.0003708550287371537","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8972153911689921","0.8405840929770866","1","1","-0.3636021614074707","-0.0004966726410202682","0.04504219375631557","0.8490252779977073"
"playful-sweep-2","","finished","-","","","2024-07-10T15:46:00.000Z","442","RealBank","5000","0.033277012193163036","[512,512]","0.0009922671851576624","3","256","190","0.04326282213134672","[128,128]","0.0008283516737072627","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8620577161322522","0.8134613915050676","1","1","-0.4563784599304199","-2.870290517807007","0.04562131359391093","0.8220073384304504"
"stilted-sweep-4","","finished","-","","","2024-07-10T16:55:51.000Z","562","RealBank","5000","0.04527005767235639","[128,128]","0.0007811352711342059","3","64","280","0.02141669687175381","[128,128]","0.0005036592481853882","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","0.863972960600497","0.7861011517751282","1","1","-0.22821365296840668","-0.10790574550628662","0.0482509857884758","0.7945423367957489"
"wobbly-sweep-15","","crashed","-","","","2024-07-11T07:30:45.000Z","1327","RealBank","5000","0.009542252739285951","[512,512]","0.0007555643775736849","15","32","746","0.00022450400280149552","[256,256]","0.00029605791937726476","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.473691463470459","-1.2427659034729004","",""
